,0
0,New York
1,Maryland
2,West Virginia
3,Mississippi
4,Alabama
5,Rhode Island
6,Massachusetts
7,Georgia
8,Kansas
9,California
10,New Jersey
11,Illinois
12,Nebraska
13,New Hampshire
14,Hawaii
15,Washington
16,Connecticut
17,Montana
18,Missouri
19,Pennsylvania
20,Oregon
21,Colorado
22,Maine
23,Alaska
24,Florida
25,North Carolina
26,South Carolina
27,Tennessee
28,South Dakota
29,Iowa
30,Vermont
31,Michigan
32,Nevada
33,Delaware
34,Wisconsin
35,New Mexico
36,Indiana
37,North Dakota
38,Oklahoma
39,Idaho
40,Minnesota
41,Texas
42,Utah
43,Louisiana
44,Arizona
45,Ohio
46,Arkansas
47,Virginia
48,Kentucky
49,Wyoming
